FR1.No,FRB.No,FRC.No,FRD.No,FRE.No,FRF.No,FRG.No,FRH.No,FRI.No,FRJ.No,FRK.No,FRL.No,FRM.No,FR1.Yes,FRB.Yes,FRC.Yes,FRD.Yes,FRE.Yes,FRF.Yes,FRG.Yes,FRH.Yes,FRI.Yes,FRJ.Yes,FRK.Yes,FRL.Yes,FRM.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.063838, 7.603496, 0.000000,19.392781, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2G3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.052416,171.239466, 62.870202,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2G5
0.000000,0.000000,0.000000,3.957817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Gx
 3.955042,20.151667,24.002920,12.160960,28.315944,23.922194,99.364360,21.746893,71.849167,50.489799,39.535443,65.253114, 8.113864, 0.000000, 4.508206,20.319469, 4.040753, 0.000000,19.844751, 6.033588,15.785482,24.112796, 0.000000,23.787136, 0.000000, 0.000000,Total.SURVEY_LC1_2H1
  0.000000,  0.000000,  0.000000, 23.812428,  4.107260,  0.000000, 24.051914, 12.072682, 56.286052,136.104658,  0.000000,198.046336,  4.014012,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.022392,  8.035472,  4.016825,  8.173348,  0.000000, 15.592531,  0.000000,Total.SURVEY_LC1_2H2
0.000000,0.000000,0.000000,6.722768,0.000000,4.083066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
 2351.4792, 9587.3189, 8062.2025, 6790.4612, 6971.1850,10308.5306, 7191.0273, 5323.1284,16250.0223,10437.8551,10683.0046, 3017.3194, 1262.8498, 3346.7921,14866.0256,17874.2669,14851.4484,15553.6040,21123.6100,15107.6172,12321.3875,26303.0440,22092.1412,20416.4190, 3192.7401,  236.0898,Total.SURVEY_LU1_2U11
 2221.0475, 5391.1060,10649.6492, 1772.9830, 3767.9139, 9163.7132, 2541.4203, 2756.2860,20552.5385,20022.1856,16392.2679, 9454.7154, 1855.8141,  538.7220, 4667.6677, 6854.2662, 2348.4983,  996.2295,10214.0426, 1679.9334, 1971.6476, 8186.2010, 3487.8655, 7019.5604, 1524.1063,  245.7335,Total.SURVEY_LU1_2U12
  4.020373,100.993947, 37.297930, 12.270481, 37.495400, 61.137527, 20.449192, 12.117710,139.606685, 55.509854,100.042168, 26.647064,  8.066719,  4.020373,  9.771621, 16.050097,  0.000000,  5.058655, 11.958299, 20.254077,  4.037209, 32.011411,  4.078647, 15.802442,  8.162574,  0.000000,Total.SURVEY_LU1_2U13
 20.209944, 39.081335, 53.016246, 49.244183, 53.765920,106.496183, 73.844362, 23.463393,237.309357,166.653177, 56.560998,154.219076,  0.000000,  8.125717,  4.034056,  4.029850,  0.000000,  0.000000,  4.134098, 27.784552,  0.000000, 16.051862,  0.000000,  4.162266,  4.146374,  0.000000,Total.SURVEY_LU1_2U14
