FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
12.53757, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3G30
4819.44898,  10.13348, 269.64934,   0.00000,Total.SURVEY_LC1_3H11
11696.9719,    0.0000,  897.9885,    0.0000,Total.SURVEY_LC1_3H12
48.954767, 9.394395, 4.235135, 5.001830,Total.SURVEY_LC1_3H21
6.337883,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Hxx
 5700.53702,   39.74861,17689.15252,  151.34230,Total.SURVEY_LU1_3U111
 48.93020,  0.00000,630.94606,  5.00183,Total.SURVEY_LU1_3U112
58.71838, 0.00000,49.88989, 0.00000,Total.SURVEY_LU1_3U113
 53833.5672,   361.0499,160314.3667,   564.5254,Total.SURVEY_LU1_3U120
435.023028,  0.000000,  7.997413,  0.000000,Total.SURVEY_LU1_3U130
1405.7547,   0.0000, 270.4393,   0.0000,Total.SURVEY_LU1_3U140
  4.248602,  0.000000,187.184740,  0.000000,Total.SURVEY_LU1_3U150
66.97853, 0.00000, 0.00000, 0.00000,Total.SURVEY_LU1_3U210
20.543025, 0.000000, 4.353778, 0.000000,Total.SURVEY_LU1_3U223
4.062944,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U224
42.7866, 0.0000, 0.0000, 0.0000,Total.SURVEY_LU1_3U225
 8.377103, 0.000000,15.607151, 0.000000,Total.SURVEY_LU1_3U226
38.028570, 0.000000, 4.235135, 0.000000,Total.SURVEY_LU1_3U227
4.314158,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U228
47.06995, 0.00000,90.78983, 0.00000,Total.SURVEY_LU1_3U311
1507.439563,   5.371689,3604.990715,  15.018809,Total.SURVEY_LU1_3U312
175.53106,  0.00000, 30.44485,  0.00000,Total.SURVEY_LU1_3U313
49.15066, 0.00000, 0.00000, 0.00000,Total.SURVEY_LU1_3U314
4.596329,0.000000,4.072978,0.000000,Total.SURVEY_LU1_3U316
123.51880,  0.00000, 30.56604,  0.00000,Total.SURVEY_LU1_3U317
194.2644,  0.0000,480.4725,  0.0000,Total.SURVEY_LU1_3U319
3.985451,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U321
30.4694, 0.0000,13.2133, 0.0000,Total.SURVEY_LU1_3U322
188.49988,  0.00000, 40.45416, 14.90859,Total.SURVEY_LU1_3U330
75.10607, 0.00000,44.93197, 0.00000,Total.SURVEY_LU1_3U341
511.15071,  0.00000, 44.71417,  0.00000,Total.SURVEY_LU1_3U350
26270.23327,   33.28455, 1289.46409,   23.46336,Total.SURVEY_LU1_3U361
130.4840,  0.0000,144.1225,  0.0000,Total.SURVEY_LU1_3U362
2081.77180,  29.66776,2136.79379,  30.04484,Total.SURVEY_LU1_3U370
0.0000,0.0000,4.1396,0.0000,Total.SURVEY_LU1_3U411
 3.881605, 0.000000,45.924899, 0.000000,Total.SURVEY_LU1_3U413
 7.866034, 0.000000,77.535234, 0.000000,Total.SURVEY_LU1_3U414
228.5935,  0.0000,513.9960,  0.0000,Total.SURVEY_LU1_3U415
49644.5912,  183.7566, 6061.1270,  123.8158,Total.SURVEY_LU1_3U420
137542.6270,   617.8397,187029.1827,   868.1487,Total.settlement0
5407.44668,  35.03945,6802.74364,  59.97223,Total.settlement1
78624.7106,  203.7891,29730.6668,  239.2294,Total.fao_class_name0
 61187.8300,   408.4329,159613.2198,   650.8863,Total.fao_class_name1
2524.35689,  21.70412,3640.37797,  14.42223,Total.fao_class_name2
613.17617, 18.95299,847.66176, 23.58299,Total.fao_class_name3
113881.3279,   589.9268,190171.8997,   874.6127,Total.lue0
29068.74583,   62.95231, 3660.02656,   53.50819,Total.lue1
139034.7026,   647.5074,189242.2866,   898.1935,Total.lud0
3915.371068,   5.371689,4589.639698,  29.927394,Total.lud1
2420.47633,  11.84790,2383.02562,  12.00184,SE.Total.area
142.9499,  0.0000,503.5417,  0.0000,SE.Total.SURVEY_LC1_1A
254.648784,  4.260062,361.826732,  5.280524,SE.Total.SURVEY_LC1_1B
2323.14467,  10.58723,2513.16896,  13.22106,SE.Total.SURVEY_LC1_1C
674.3196,  0.0000,765.7444,  0.0000,SE.Total.SURVEY_LC1_1D
496.18094,  0.00000,708.36066, 11.69571,SE.Total.SURVEY_LC1_1E
359.284176,  4.147636,444.938735,  0.000000,SE.Total.SURVEY_LC1_1F
258.4114,  0.0000,141.8442,  0.0000,SE.Total.SURVEY_LC1_1G
453.5789,  0.0000,157.6005,  0.0000,SE.Total.SURVEY_LC1_1H
2286.13819,  11.84790,2465.40117,  15.15404,SE.Total.SURVEY_LU1_1U1
40.768055, 0.000000, 8.716825, 0.000000,SE.Total.SURVEY_LU1_1U2
597.18922,  0.00000,611.17204, 11.69571,SE.Total.SURVEY_LU1_1U3
1315.16532,   0.00000, 729.14202,  10.01124,SE.Total.SURVEY_LU1_1U4
 88.03854,  0.00000,145.67666,  0.00000,SE.Total.SURVEY_LC1_2A1
139.4663,  0.0000,474.8531,  0.0000,SE.Total.SURVEY_LC1_2A2
 55.39082,  0.00000,102.84187,  0.00000,SE.Total.SURVEY_LC1_2A3
 64.40109,  0.00000,344.72587,  0.00000,SE.Total.SURVEY_LC1_2B1
  0.000000,  0.000000,114.023124,  5.246391,SE.Total.SURVEY_LC1_2B2
  0.0000,  0.0000,122.6617,  0.0000,SE.Total.SURVEY_LC1_2B3
 0.00000, 0.00000,74.26739, 0.00000,SE.Total.SURVEY_LC1_2B4
 45.491649,  0.000000,264.702113,  5.313208,SE.Total.SURVEY_LC1_2B5
0,0,0,0,SE.Total.SURVEY_LC1_2B7
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_2B8
244.333125,  4.260062,  0.000000,  0.000000,SE.Total.SURVEY_LC1_2Bx
 552.67627,   0.00000,1272.72485,  10.01124,SE.Total.SURVEY_LC1_2C1
2044.44394,  10.58723,2734.10086,  13.39190,SE.Total.SURVEY_LC1_2C2
1382.95441,   0.00000,2681.63508,  10.58723,SE.Total.SURVEY_LC1_2C3
195.5396,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_2Cx
504.9669,  0.0000,666.1896,  0.0000,SE.Total.SURVEY_LC1_2D1
453.9640,  0.0000,383.1351,  0.0000,SE.Total.SURVEY_LC1_2D2
0,0,0,0,SE.Total.SURVEY_LC1_2Dx
238.6772,  0.0000,326.6925,  0.0000,SE.Total.SURVEY_LC1_2E1
209.25526,  0.00000,333.54055, 11.69571,SE.Total.SURVEY_LC1_2E2
385.3320,  0.0000,542.8829,  0.0000,SE.Total.SURVEY_LC1_2E3
33.86351, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LC1_2F1
36.61435, 0.00000,24.63511, 0.00000,SE.Total.SURVEY_LC1_2F2
 83.74175,  0.00000,167.48865,  0.00000,SE.Total.SURVEY_LC1_2F3
345.911924,  4.147636,411.749272,  0.000000,SE.Total.SURVEY_LC1_2F4
4.6286,0.0000,0.0000,0.0000,SE.Total.SURVEY_LC1_2Fx
317.3993,  0.0000,132.5880,  0.0000,SE.Total.SURVEY_LC1_2G1
208.53232,  0.00000, 56.83519,  0.00000,SE.Total.SURVEY_LC1_2G2
5.518232,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_2G3
453.5727,  0.0000,157.6005,  0.0000,SE.Total.SURVEY_LC1_2H1
5.974853,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_2H2
3.85236,0.00000,0.00000,0.00000,SE.Total.SURVEY_LC1_2Hx
315.153574,  5.318208,371.631462,  5.280524,SE.Total.SURVEY_LU1_2U11
2257.91854,  10.58723,2450.64993,  14.20426,SE.Total.SURVEY_LU1_2U12
158.1131,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LU1_2U13
 86.04697,  0.00000,173.17096,  0.00000,SE.Total.SURVEY_LU1_2U14
  0.0000,  0.0000,180.8274,  0.0000,SE.Total.SURVEY_LU1_2U15
34.18447, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LU1_2U21
22.213874, 0.000000, 8.716825, 0.000000,SE.Total.SURVEY_LU1_2U22
161.0838,  0.0000,460.5448,  0.0000,SE.Total.SURVEY_LU1_2U31
18.009653, 0.000000, 1.267149, 0.000000,SE.Total.SURVEY_LU1_2U32
156.63017,  0.00000, 18.22695,  0.00000,SE.Total.SURVEY_LU1_2U33
11.10540, 0.00000,34.29492, 0.00000,SE.Total.SURVEY_LU1_2U34
185.56632,  0.00000, 22.22744,  0.00000,SE.Total.SURVEY_LU1_2U35
519.8399,  0.0000,295.9122,  0.0000,SE.Total.SURVEY_LU1_2U36
169.43512,  0.00000,284.20674, 11.69571,SE.Total.SURVEY_LU1_2U37
 77.06561,  0.00000,195.24750,  0.00000,SE.Total.SURVEY_LU1_2U41
1314.77062,   0.00000, 703.00647,  10.01124,SE.Total.SURVEY_LU1_2U42
 83.99642,  0.00000,145.67666,  0.00000,SE.Total.SURVEY_LC1_3A11
36.88449, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LC1_3A12
0,0,0,0,SE.Total.SURVEY_LC1_3A13
102.3731,  0.0000,174.5022,  0.0000,SE.Total.SURVEY_LC1_3A21
129.0823,  0.0000,445.8023,  0.0000,SE.Total.SURVEY_LC1_3A22
 55.39082,  0.00000,102.84187,  0.00000,SE.Total.SURVEY_LC1_3A30
 41.98038,  0.00000,210.65771,  0.00000,SE.Total.SURVEY_LC1_3B11
 0.00000, 0.00000,46.80596, 0.00000,SE.Total.SURVEY_LC1_3B12
  2.466951,  0.000000,246.669800,  0.000000,SE.Total.SURVEY_LC1_3B13
46.79785, 0.00000,29.71174, 0.00000,SE.Total.SURVEY_LC1_3B14
 13.42235,  0.00000,222.29881,  0.00000,SE.Total.SURVEY_LC1_3B15
2.9772188,0.0000000,0.5056748,0.0000000,SE.Total.SURVEY_LC1_3B18
 0.000000, 0.000000,19.934189, 4.147636,SE.Total.SURVEY_LC1_3B21
 0.00000, 0.00000,71.13199, 0.00000,SE.Total.SURVEY_LC1_3B22
 0.000000, 0.000000,86.936371, 4.147636,SE.Total.SURVEY_LC1_3B23
0.000000,0.000000,7.401791,0.000000,SE.Total.SURVEY_LC1_3B31
  0.0000,  0.0000,121.5336,  0.0000,SE.Total.SURVEY_LC1_3B32
0.000000,0.000000,4.986101,0.000000,SE.Total.SURVEY_LC1_3B35
 0.00000, 0.00000,14.31736, 0.00000,SE.Total.SURVEY_LC1_3B37
 0.00000, 0.00000,59.95175, 0.00000,SE.Total.SURVEY_LC1_3B41
 0.00000, 0.00000,24.87436, 0.00000,SE.Total.SURVEY_LC1_3B43
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_3B45
 0.00000, 0.00000,67.63235, 0.00000,SE.Total.SURVEY_LC1_3B51
 0.00000, 0.00000,47.22823, 0.00000,SE.Total.SURVEY_LC1_3B52
 0.000000, 0.000000,91.240482, 4.139561,SE.Total.SURVEY_LC1_3B53
0.000000,0.000000,6.223039,0.000000,SE.Total.SURVEY_LC1_3B54
 45.491649,  0.000000,247.003101,  4.260062,SE.Total.SURVEY_LC1_3B55
0,0,0,0,SE.Total.SURVEY_LC1_3B71
0,0,0,0,SE.Total.SURVEY_LC1_3B73
0,0,0,0,SE.Total.SURVEY_LC1_3B75
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_3B83
0,0,0,0,SE.Total.SURVEY_LC1_3B84
244.275324,  4.260062,  0.000000,  0.000000,SE.Total.SURVEY_LC1_3Bx1
0,0,0,0,SE.Total.SURVEY_LC1_3Bx2
5.737856,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3Bxx
 552.67627,   0.00000,1272.72485,  10.01124,SE.Total.SURVEY_LC1_3C10
 631.99284,   0.00000,1662.13530,  10.58723,SE.Total.SURVEY_LC1_3C21
1472.70204,  10.58723,2364.78251,  10.58723,SE.Total.SURVEY_LC1_3C22
 817.1732,   0.0000,1387.0980,   0.0000,SE.Total.SURVEY_LC1_3C23
1279.773,   0.000,   0.000,   0.000,SE.Total.SURVEY_LC1_3C2x
 519.5634,   0.0000,1723.5656,   0.0000,SE.Total.SURVEY_LC1_3C31
 951.88765,   0.00000,1937.47429,  10.58723,SE.Total.SURVEY_LC1_3C32
 704.0616,   0.0000,1610.9232,   0.0000,SE.Total.SURVEY_LC1_3C33
597.355,  0.000,  0.000,  0.000,SE.Total.SURVEY_LC1_3C3x
195.5396,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_3Cxx
443.6635,  0.0000,666.1896,  0.0000,SE.Total.SURVEY_LC1_3D10
241.1519,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_3D1x
453.9640,  0.0000,383.1351,  0.0000,SE.Total.SURVEY_LC1_3D20
0,0,0,0,SE.Total.SURVEY_LC1_3Dxx
238.6772,  0.0000,326.6925,  0.0000,SE.Total.SURVEY_LC1_3E10
209.25526,  0.00000,333.54055, 11.69571,SE.Total.SURVEY_LC1_3E20
385.3320,  0.0000,542.8829,  0.0000,SE.Total.SURVEY_LC1_3E30
33.86351, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LC1_3F10
