FR10.No,FRB0.No,FRC1.No,FRC2.No,FRD1.No,FRD2.No,FRE1.No,FRE2.No,FRF1.No,FRF2.No,FRF3.No,FRG0.No,FRH0.No,FRI1.No,FRI2.No,FRI3.No,FRJ1.No,FRJ2.No,FRK1.No,FRK2.No,FRL0.No,FRM0.No,FR10.Yes,FRB0.Yes,FRC1.Yes,FRC2.Yes,FRD1.Yes,FRD2.Yes,FRE1.Yes,FRE2.Yes,FRF1.Yes,FRF2.Yes,FRF3.Yes,FRG0.Yes,FRH0.Yes,FRI1.Yes,FRI2.Yes,FRI3.Yes,FRJ1.Yes,FRJ2.Yes,FRK1.Yes,FRK2.Yes,FRL0.Yes,FRM0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  55.371804, 178.299763, 297.783674,  37.574265,  60.806877,  32.200712, 117.189789,  58.358241,  49.685514,  60.382671,  29.992680, 120.386193, 191.218986, 494.376256, 128.469290, 103.458589,1579.460070, 411.555407, 237.516332, 767.495497,1322.621439,1676.677575,  14.096493,  36.310081,   8.104285,  93.511792,  49.528363,  20.077378,  14.060161,  18.311917,  16.075981,  20.252276, 166.160985,  57.023430,  78.675172,  79.504365,  58.733953,  61.829403, 215.973071, 149.629029, 237.075060,  95.344850, 129.041492,  32.091168,Total.SURVEY_LC1_2D2
 0.000000, 3.887058, 8.714902, 3.923398, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,29.042481, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.820284, 0.000000, 0.000000, 4.206970, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Dx
169.353857,380.020402,188.883188,114.129896,186.420006,231.292024,300.159852,241.252920, 67.573871, 84.858486,368.319326,561.022398,274.092723,558.456098,118.488592,169.142575,338.275518,633.937726,341.215911,891.222491,769.284141,138.453500, 66.382351,242.122733,144.302518,295.335028,223.423323, 54.089470, 83.821806, 72.985498, 63.916715,101.433704,249.813994,365.695640,308.106930,606.969955,254.346559,277.171517,265.221413,663.798562,499.691431,564.592013,192.637752,  3.974221,Total.SURVEY_LC1_2E1
 649.70678,3052.48435,3609.25085, 995.68745,2281.28165,1370.46953,1195.76959,1149.56348, 380.88118,1496.89950,1659.96370,3206.47849,1989.38050,3220.60429,2073.17319,2526.57865,1965.33023,4336.61010,3625.12781,5342.35354,2663.75110, 458.54621, 213.23415,2035.06236,4771.69812,3184.93026,3760.77637, 963.29622, 812.92809, 672.30985, 767.36506,2065.96300,2586.14708,4768.81849,3763.76574,3081.01204,3771.01357,1890.67890,1190.09797,5281.09397,6014.09682,4420.75633, 574.95398,  58.76007,Total.SURVEY_LC1_2E2
158.83091,325.71613,318.75107, 91.70718, 41.21964, 76.63367, 65.01148, 98.31074, 36.48659,186.25635, 33.56354,212.74367,198.88341,970.36720,173.54497,394.21401,163.30134,289.51614,246.00452,387.75915,270.39641, 49.48566,291.29377,476.86125,316.33179,235.05669,153.79600,100.31766, 75.60678,150.67210, 28.63698,324.89185, 74.34352,477.96478,367.85784,663.46352,266.93115,495.73965,369.06749,517.10337,291.89317,592.71781,283.01441, 49.89357,Total.SURVEY_LC1_2E3
27.867077,68.538376, 3.967504, 3.983698, 0.000000, 0.000000, 4.006767, 0.000000, 0.000000, 0.000000, 4.035456,37.612701, 0.000000,45.434561,30.301665, 0.000000,32.919402,22.078414,11.919052,15.330552, 4.043539, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Ex
   0.000000,   4.152455,  12.395943,   7.940387,  12.247848,   0.000000,  12.485975,   4.138949,   8.092195,   8.276366,  12.284193,   8.281746,  20.331142, 103.542957,  12.281750,  20.586711, 216.992939, 627.947250,   7.718427,1988.789324,2156.221171, 619.668710,   4.007037,   4.034056,   0.000000,  25.796465,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.070232,   0.000000,   0.000000,  32.998163,   8.430274,   0.000000,Total.SURVEY_LC1_2F1
 0.000000, 4.152455,12.444038, 4.065721, 0.000000, 8.318187, 4.165434, 4.145010,16.553446, 4.154591, 0.000000,16.464532, 4.135926,37.014450, 4.109535, 0.000000,15.602893, 0.000000, 4.215681,12.374054,90.603955, 4.056966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.135054, 0.000000, 0.000000, 4.166460, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2F2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.136693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2F3
1094.920712,2065.509497,1073.214200, 100.632514, 439.474666, 325.318430, 172.550263, 880.500941, 110.650219,2433.872480, 597.695631, 801.469587,1030.613388,1126.799289, 117.801053,1621.416215, 232.245578,1266.397450, 618.971109, 396.025181, 412.658434,  75.356275, 343.111655, 252.619904,1222.238844, 164.592609,  86.259675, 451.192107,  22.765782, 213.190715,   4.002292, 481.471633,  38.728927, 115.624238, 135.554921, 140.009509,  31.927473, 419.872730,  32.443130, 217.020930, 250.709511, 118.975205,  54.687892,  14.189656,Total.SURVEY_LC1_2F4
