DE1.No,DE2.No,DE3.No,DE4.No,DE5.No,DE6.No,DE7.No,DE8.No,DE9.No,DEA.No,DEB.No,DEC.No,DED.No,DEE.No,DEF.No,DEG.No,DE1.Yes,DE2.Yes,DE3.Yes,DE4.Yes,DE5.Yes,DE6.Yes,DE7.Yes,DE8.Yes,DE9.Yes,DEA.Yes,DEB.Yes,DEC.Yes,DED.Yes,DEE.Yes,DEF.Yes,DEG.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
133.583079, 78.752499,  7.909024, 39.346988,  0.000000,  0.000000, 11.787028,  4.029482, 57.135068,107.205005, 27.606476, 16.139429,  3.967741, 28.148396, 11.848518,  3.967642,823.307525,351.449415,  0.000000, 25.647005,  4.251904,  7.944157,117.468045, 20.638726,146.647728,161.325521,194.496406, 54.532389, 64.972278, 28.047041, 29.385052, 47.033067,Total.SURVEY_LC1_2B7
 19.412719,  3.939379,  0.000000,  3.992431,  0.000000,  0.000000,  7.914428, 14.271817, 48.613869, 11.199208, 31.913150,  0.000000,  0.000000, 12.108692, 16.164935,  0.000000,205.542907, 97.638895,  0.000000,  0.000000,  0.000000,  4.043909, 24.018257,  0.000000, 41.185364, 31.186281,591.430529,  0.000000,  5.194786,  0.000000, 20.957892,  0.000000,Total.SURVEY_LC1_2B8
1419.811116,2208.508505,   7.855083,4646.403634,   4.255579,  16.028411, 774.358314,5209.599089,5637.898004,2605.595412, 590.715181,  78.628387,2918.675160,4452.955726,2469.637912,2829.523365,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,Total.SURVEY_LC1_2Bx
4077.52009,3955.61182, 169.10952,1690.98106,  50.89921, 148.84653,2599.93034,2438.37119,2845.06487,3491.09718,2585.46459, 266.78754,1404.12436,1236.86112, 974.40353,1313.44036,2261.50145,4006.17459,  48.92376,1296.88778,  12.43837,  20.02799,2851.56637, 603.94145,3625.40802,2957.64116,2029.54770, 522.13446, 993.03529,1376.71813, 663.10028, 806.32811,Total.SURVEY_LC1_2C1
3771.44959,7789.21102,  28.18127,3962.16609,   0.00000,   0.00000,1148.54608,2079.24590,3203.07601, 909.35304,1960.51280,  61.98377,2182.09158,1144.13681, 348.51066, 708.92629,1299.07506,5707.28047,  31.93242,2993.44572,   0.00000,  12.13120, 369.84616, 339.26606,1374.34844,1249.01017, 761.75774,  68.59598, 534.73959, 878.32302,  98.28081, 912.65953,Total.SURVEY_LC1_2C2
2020.842709,2981.972437,  27.316401,1071.637510,   0.000000,   3.840074, 839.120505, 468.374288,1062.702285, 576.839956, 288.936942,  15.791184, 691.948426,  66.984337, 182.380158,  57.659671,1449.742435,2856.670057,  43.823075,1190.198124,   4.255309,   4.005599,1521.315480, 102.373749,1205.385555, 624.360431,1098.258894, 116.661575, 392.420854, 851.179492, 134.075319,1539.499534,Total.SURVEY_LC1_2C3
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.38896,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Cx
 37.464489,167.414774,  3.915907, 32.166191,  4.293936,  0.000000, 90.301670, 77.266935, 44.571069, 56.267130, 43.597850,  3.869202, 39.400592, 36.267743, 18.252036, 76.657413,121.861244,150.719347,  0.000000, 22.226518,  0.000000,  0.000000,109.457987, 17.067729, 42.439215,245.463225,140.792562, 12.180997,  7.860080, 19.995481, 29.121539,350.367794,Total.SURVEY_LC1_2D1
161.420917,318.046145,  3.786623, 96.282543,  4.293936, 12.127058, 47.295208,112.588450,218.809524,123.598216, 67.158604,  3.869202, 19.921842, 92.750335, 92.157910, 32.095856, 41.985048,137.926024,  0.000000, 11.998169,  0.000000,  0.000000, 27.844921, 33.173155, 35.060022, 49.565302, 82.638304, 30.077753, 22.088888, 40.603845, 16.131792, 16.105357,Total.SURVEY_LC1_2D2
294.194982,312.990667, 11.388916,354.509727,  0.000000,  7.944157,197.589242,120.197161,284.082234,298.792637,205.429307, 68.479921,246.389177,178.916463, 77.603947,161.412185,175.313528,254.675954, 12.302926,112.795499,  4.111143,  4.043909,125.623218, 98.023135,284.869143,476.331484,107.780720, 12.020706, 94.779098,126.661957, 38.859008, 57.393656,Total.SURVEY_LC1_2E1
2660.473591,4828.442294,  81.128079,3556.016227,  89.299431, 127.813313,1429.602847,3126.809568,6493.948259,3068.509598,1142.832670, 250.526584,1881.517293,1924.130470,2629.275950,1906.798751,3797.820132,9316.130594,  11.388916,1004.847079,   4.255579,  37.282568,2665.689877,1057.335961,3364.940740,3482.411851,2408.001721, 285.284292,1079.012163, 662.835620,1479.676369, 873.275613,Total.SURVEY_LC1_2E2
127.191941,303.883044,  3.867398, 62.674502,  4.111143,  5.441486,113.364722,116.808324,181.869927, 77.436054,130.553979, 31.012079,144.310549,117.894383, 28.852089, 56.203990,259.837319,867.387590,  0.000000,163.960073,  0.000000,  4.040345,117.872754, 69.531966,284.331445,879.278812,248.717685, 32.811416,139.307403,102.895157,111.552978, 80.011067,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.004001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ex
 20.723865,172.670507,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.049171,  3.978717, 20.086002, 11.893145,  0.000000,  3.876563,  4.000011,  0.000000,  4.200943,  0.000000,  4.201952,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.079040,  0.000000,Total.SURVEY_LC1_2F1
 22.911476, 48.025366,  3.915907, 29.967638,  0.000000,  4.081114,  3.909647, 35.672126,104.241892, 73.079208, 11.867523, 24.027364, 52.010318, 15.820595, 59.754250, 18.039387,  0.000000,  0.000000,  0.000000,  7.350902,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.826489,  3.953142,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2F2
 453.450995,1012.243538,   0.000000,1816.125837,   0.000000,   8.122706, 318.978126,2387.625113,3240.045198, 913.390014, 429.556308,  36.167532, 877.037932,2081.351247,1355.160430,1076.717253, 375.005705,1399.531607,   0.000000,  48.326591,   0.000000,   4.043909,  89.435667,   0.000000, 117.502762,  78.135380, 173.675931,  16.101487, 233.872302,  70.879428,  14.386995,  73.197460,Total.SURVEY_LC1_2F4
335.556589,710.953125, 27.824686,701.149839, 12.726969, 20.459406, 60.357326,772.946741,340.048711,250.227597, 35.259496, 12.102827,313.910084,203.006697,280.353493, 63.953512, 71.075767,114.553795,  0.000000, 42.881069,  0.000000,  0.000000, 14.243503, 21.472518, 43.190097, 27.993498, 17.982285,  7.889512, 19.720112, 15.740342, 28.650380, 15.787254,Total.SURVEY_LC1_2G1
117.228107,211.140507, 19.874776, 62.606347, 21.251013, 40.828144, 35.583984, 43.977532,308.682161,126.534425, 62.193418, 11.840345, 28.742057, 92.802344,117.421364, 27.576653, 26.064100, 97.868326,  7.949910, 24.339985,  0.000000,  0.000000, 27.681138,  0.000000, 39.853192,  7.848576, 15.452541,  0.000000,  3.858184, 15.944068, 12.040457,  7.836361,Total.SURVEY_LC1_2G2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.147514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2G4
 54.249180,119.685392,  3.786623,242.959317,  8.511157,  0.000000,  0.000000,172.151421,324.042023,  7.972476, 11.808109,  0.000000, 41.611485, 70.410959,212.241043, 16.352043, 22.958820, 83.255143,  0.000000, 35.436434,  0.000000,  4.040345, 11.942236, 32.010783, 11.964081,  0.000000,  8.289477, 16.321533,  0.000000,  3.931477, 21.099253,  3.964122,Total.SURVEY_LC1_2H1
  0.000000,  0.000000,  0.000000,  0.000000,  8.632387,  4.040345,  0.000000, 20.129453, 75.247294,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,102.251846,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.991047,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2H2
0.000000,0.000000,0.000000,3.954363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
 4215.96329, 7413.09201,   23.59930, 9993.62903,   80.85600,   97.06390, 2168.39391,10613.56774,15241.94806, 6067.86178, 1984.15795,  315.33837, 5629.46789, 8420.14020, 6366.86336, 5744.60478,10961.60980,25932.50141,   11.79088, 3830.47453,   16.89219,   72.80401, 6491.68380, 3551.27813,12894.35704,10234.17653, 6112.25941,  550.39126, 3883.97791, 3829.40953, 4437.56806, 2989.10697,Total.SURVEY_LU1_2U11
 9024.731956,13422.548296,   67.489337, 5545.770825,    0.000000,    4.005599, 4251.300669, 4064.593934, 5608.264402, 3706.066401, 4568.931670,  264.777604, 3580.164342, 1759.366838, 1050.693830, 1841.593341, 4574.789142,11686.925555,   96.069288, 4940.625368,    8.471390,   24.148001, 4580.123712,  800.495560, 5611.807299, 5368.869029, 3792.093242,  676.581544, 1569.798617, 3000.033099,  617.163290, 3163.227716,Total.SURVEY_LU1_2U12
62.067181,98.509803, 0.000000,17.600923, 0.000000, 0.000000,12.047373, 0.000000,16.955143, 0.000000, 0.000000, 0.000000,66.199711, 0.000000, 8.142450,11.862080, 7.607683,35.815354, 0.000000, 6.301328, 0.000000, 0.000000, 0.000000, 4.088727, 4.022233, 8.009463, 0.000000, 3.884966, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U13
 80.047170,191.219383,  0.000000,120.962966,  0.000000,  0.000000, 32.324429, 39.983247,219.605844,260.130688, 70.594892, 15.853792,181.793236, 82.154086, 44.028625, 47.706419,  0.000000, 40.120794,  0.000000,  3.988889,  0.000000,  0.000000, 10.617676,  4.025891, 48.105326,  3.910187, 11.961553,  4.004546,  3.863326,  7.881168, 14.312469,  0.000000,Total.SURVEY_LU1_2U14
0.000000,9.295362,0.000000,3.937983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.044961,3.947698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.987517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.964122,Total.SURVEY_LU1_2U15
12.383364,55.063553, 3.954512,30.760143, 0.000000, 0.000000, 8.050226,40.087644,25.503995,11.961568, 0.000000, 4.044961,41.187461,16.293567, 8.138300, 7.935285, 4.004969,84.818708, 0.000000, 3.922551, 0.000000, 0.000000, 4.260901,16.235847, 0.000000, 0.000000, 4.037803, 4.025372, 3.858184, 0.000000, 8.080034, 7.989267,Total.SURVEY_LU1_2U21
