LU0.No,LU0.Yes,variable
No,Yes,flag_two
0.0000000,0.5010509,SE.Total.lud1
 634.2788,1954.2855,CI.l(95%).Total.area
137.00311, 99.81817,CI.l(95%).Total.SURVEY_LC1_1A
 24.17702,503.68789,CI.l(95%).Total.SURVEY_LC1_1B
195.0931,749.1284,CI.l(95%).Total.SURVEY_LC1_1C
 7.509926,19.385331,CI.l(95%).Total.SURVEY_LC1_1D
232.9490,551.2797,CI.l(95%).Total.SURVEY_LC1_1E
16.11801,16.11801,CI.l(95%).Total.SURVEY_LC1_1F
20.147516, 8.059006,CI.l(95%).Total.SURVEY_LC1_1G
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_1H
 408.6266,1764.6090,CI.l(95%).Total.SURVEY_LU1_1U1
8.059006,8.059006,CI.l(95%).Total.SURVEY_LU1_1U2
209.5342,115.8081,CI.l(95%).Total.SURVEY_LU1_1U3
 8.059006,63.709865,CI.l(95%).Total.SURVEY_LU1_1U4
40.29503,24.17702,CI.l(95%).Total.SURVEY_LC1_2A1
92.67857,55.49364,CI.l(95%).Total.SURVEY_LC1_2A2
 4.029503,20.147516,CI.l(95%).Total.SURVEY_LC1_2A3
  0.0000,318.3307,CI.l(95%).Total.SURVEY_LC1_2B1
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_2B2
 0.00000,20.14752,CI.l(95%).Total.SURVEY_LC1_2B3
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2B4
  0.0000,124.9146,CI.l(95%).Total.SURVEY_LC1_2B5
4.029503,8.059006,CI.l(95%).Total.SURVEY_LC1_2B7
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2B8
20.14752, 0.00000,CI.l(95%).Total.SURVEY_LC1_2Bx
110.8933,521.9126,CI.l(95%).Total.SURVEY_LC1_2C1
 54.6947,134.7354,CI.l(95%).Total.SURVEY_LC1_2C2
23.02029,86.75405,CI.l(95%).Total.SURVEY_LC1_2C3
3.480423,0.000000,CI.l(95%).Total.SURVEY_LC1_2Cx
 7.509926,11.326325,CI.l(95%).Total.SURVEY_LC1_2D1
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_2D2
