HU1.No,HU2.No,HU3.No,HU1.Yes,HU2.Yes,HU3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
 487.1016,3426.2205,7404.7423,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
    0.000,    0.000,    0.000, 2173.767,10078.538,10636.765,Total.SURVEY_LC1_2C1
  0.000000,  3.088408,  4.241827,156.235843,486.942253,427.256149,Total.SURVEY_LC1_2C2
   0.0000,   0.0000,   0.0000,  79.2279,1166.4942, 153.7621,Total.SURVEY_LC1_2C3
  0.00000,  0.00000,  0.00000, 73.10884,302.20093,520.12226,Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000, 55.43054,184.53586,428.28957,Total.SURVEY_LC1_2D2
0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
  0.0000,  0.0000,  0.0000,112.9287,557.4469,886.7283,Total.SURVEY_LC1_2E1
   0.0000,   0.0000,   0.0000, 803.2577,3261.5761,7824.1267,Total.SURVEY_LC1_2E2
   0.0000,   0.0000,   0.0000, 324.4499,1005.4363,1363.7390,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,3.896254,3.913089,8.646157,Total.SURVEY_LC1_2F2
   0.0000,   0.0000,   0.0000, 140.2994,1982.6305,1951.7550,Total.SURVEY_LC1_2F4
  0.00000,  0.00000,  0.00000, 49.13173,897.44441,381.08664,Total.SURVEY_LC1_2G1
  0.0000,  0.0000,  0.0000,112.7533,159.8836,213.5912,Total.SURVEY_LC1_2G2
  0.00000,  0.00000,  0.00000, 57.21595,395.08112,591.61483,Total.SURVEY_LC1_2H1
  483.1891, 3426.2205, 7400.3144, 2608.9066,16686.1920,25387.7843,Total.SURVEY_LU1_2U11
    0.000000,    3.088408,    4.241827, 1926.422273,10410.303541, 9520.083960,Total.SURVEY_LU1_2U12
  0.000000,  0.000000,  0.000000,  8.120131,166.114481,233.029274,Total.SURVEY_LU1_2U13
 0.00000, 0.00000, 0.00000,36.90799,24.44752,52.88254,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,8.380451,7.039583,Total.SURVEY_LU1_2U15
 0.00000, 0.00000, 0.00000, 0.00000,29.84596,36.20117,Total.SURVEY_LU1_2U21
 0.00000, 0.00000, 0.00000,57.82260,79.98408,49.35751,Total.SURVEY_LU1_2U22
   0.000,   0.000,   0.000, 430.431,1033.497,1320.171,Total.SURVEY_LU1_2U31
  0.00000,  0.00000,  0.00000, 37.65951, 76.42904,144.96463,Total.SURVEY_LU1_2U32
 0.00000, 0.00000, 0.00000,18.22114,36.98727,38.14450,Total.SURVEY_LU1_2U33
 0.00000, 0.00000, 0.00000,48.82212,20.58060,31.94525,Total.SURVEY_LU1_2U34
  0.0000,  0.0000,  0.0000,100.9535,141.8752,101.1223,Total.SURVEY_LU1_2U35
  0.00000,  0.00000,  0.00000, 91.07005,869.12373,347.36093,Total.SURVEY_LU1_2U36
   0.0000,   0.0000,   0.0000, 575.3544,1205.2956,1600.5868,Total.SURVEY_LU1_2U37
  3.912483,  0.000000,  4.427882,105.114737,373.482706,564.228447,Total.SURVEY_LU1_2U41
   0.000000,   0.000000,   3.861248, 383.092400,2019.152433,2637.252109,Total.SURVEY_LU1_2U42
  0.0000,  0.0000,  0.0000,267.2971,376.1699,471.7444,Total.SURVEY_LC1_3A11
 0.00000, 0.00000, 0.00000,11.35227,25.98564,30.00854,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,14.64944,Total.SURVEY_LC1_3A13
  0.0000,  0.0000,  0.0000,170.0491,293.8110,252.3457,Total.SURVEY_LC1_3A21
  0.0000,  0.0000,  0.0000,178.2826,600.0829,874.9415,Total.SURVEY_LC1_3A22
 0.000000, 0.000000, 0.000000, 9.570967,58.347476,83.713358,Total.SURVEY_LC1_3A30
   0.0000,   0.0000,   0.0000, 308.8091,2901.9104,3561.3566,Total.SURVEY_LC1_3B11
 0.00000, 0.00000, 0.00000, 0.00000,62.83087,64.44240,Total.SURVEY_LC1_3B12
   0.0000,   0.0000,   0.0000, 100.7858,1052.3854, 801.8814,Total.SURVEY_LC1_3B13
  0.000000,  0.000000,  0.000000,  3.929684, 16.885753,140.127534,Total.SURVEY_LC1_3B14
  0.0000,  0.0000,  0.0000,  0.0000,205.9643,110.0293,Total.SURVEY_LC1_3B15
   0.000,   0.000,   0.000, 455.451,3258.927,5195.503,Total.SURVEY_LC1_3B16
0.000000,0.000000,0.000000,0.000000,0.000000,3.942056,Total.SURVEY_LC1_3B17
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,102.1135,Total.SURVEY_LC1_3B18
  0.000000,  0.000000,  0.000000,  3.945914,140.093754, 10.220684,Total.SURVEY_LC1_3B19
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,125.1787,Total.SURVEY_LC1_3B21
0.00000,0.00000,0.00000,0.00000,4.20967,0.00000,Total.SURVEY_LC1_3B22
0.000000,0.000000,0.000000,0.000000,4.444795,3.909073,Total.SURVEY_LC1_3B23
   0.0000,   0.0000,   0.0000, 515.7171,1404.5486,2734.8639,Total.SURVEY_LC1_3B31
