LU0.No,LU0.Yes,variable
No,Yes,flag_two
0,0,SE.Total.SURVEY_LC1_3Bx1
0,0,SE.Total.SURVEY_LC1_3Bxx
0.000000,1.983439,SE.Total.SURVEY_LC1_3C10
0.000000,1.543059,SE.Total.SURVEY_LC1_3C21
0.0000000,0.2908004,SE.Total.SURVEY_LC1_3C22
0.0000000,0.5770392,SE.Total.SURVEY_LC1_3C23
0.6434405,0.0000000,SE.Total.SURVEY_LC1_3C2x
0.0000000,0.7572686,SE.Total.SURVEY_LC1_3C31
0.0000000,0.5770392,SE.Total.SURVEY_LC1_3C32
0.0000000,0.8540329,SE.Total.SURVEY_LC1_3C33
0.4101815,0.0000000,SE.Total.SURVEY_LC1_3C3x
0.2908004,0.0000000,SE.Total.SURVEY_LC1_3Cxx
0.0000000,0.5010509,SE.Total.SURVEY_LC1_3D10
0,0,SE.Total.SURVEY_LC1_3D20
0.0000000,0.4101815,SE.Total.SURVEY_LC1_3E10
0,0,SE.Total.SURVEY_LC1_3E20
0,0,SE.Total.SURVEY_LC1_3E2x
0.0000000,0.4101815,SE.Total.SURVEY_LC1_3E30
0,0,SE.Total.SURVEY_LC1_3Exx
0,0,SE.Total.SURVEY_LC1_3F40
0,0,SE.Total.SURVEY_LC1_3G11
0,0,SE.Total.SURVEY_LC1_3G21
0,0,SE.Total.SURVEY_LC1_3H11
0,0,SE.Total.SURVEY_LU1_3U111
0.807375,1.050594,SE.Total.SURVEY_LU1_3U120
0,0,SE.Total.SURVEY_LU1_3U140
0,0,SE.Total.SURVEY_LU1_3U221
0,0,SE.Total.SURVEY_LU1_3U223
0,0,SE.Total.SURVEY_LU1_3U224
0,0,SE.Total.SURVEY_LU1_3U311
0.0000000,0.4101815,SE.Total.SURVEY_LU1_3U312
0,0,SE.Total.SURVEY_LU1_3U317
0,0,SE.Total.SURVEY_LU1_3U319
0,0,SE.Total.SURVEY_LU1_3U321
0.0000000,0.2908004,SE.Total.SURVEY_LU1_3U330
0,0,SE.Total.SURVEY_LU1_3U341
0,0,SE.Total.SURVEY_LU1_3U350
0,0,SE.Total.SURVEY_LU1_3U361
0,0,SE.Total.SURVEY_LU1_3U362
0.0000000,0.2908004,SE.Total.SURVEY_LU1_3U370
0,0,SE.Total.SURVEY_LU1_3U414
0.0000000,0.4101815,SE.Total.SURVEY_LU1_3U420
0.8073750,0.9780799,SE.Total.settlement0
0.0000000,0.5770392,SE.Total.settlement1
0.0000000000,0.0008732315,SE.Total.settl_pc
0.2908004,0.7572686,SE.Total.fao_class_name0
0.7572686,1.1479560,SE.Total.fao_class_name1
0.0000000,0.4101815,SE.Total.fao_class_name2
0,0,SE.Total.fao_class_name3
0.8073750,0.8540329,SE.Total.lue0
0.0000000,0.2908004,SE.Total.lue1
0.8073750,0.9390235,SE.Total.lud0
0.0000000,0.5010509,SE.Total.lud1
  63.05665,2528.77850,CI.l(95%).Total.area
  0.0000,236.8213,CI.l(95%).Total.SURVEY_LC1_1A
 20.14752,507.71739,CI.l(95%).Total.SURVEY_LC1_1B
 30.82062,916.04230,CI.l(95%).Total.SURVEY_LC1_1C
 0.00000,27.28711,CI.l(95%).Total.SURVEY_LC1_1D
 12.08851,772.61713,CI.l(95%).Total.SURVEY_LC1_1E
 0.00000,32.23602,CI.l(95%).Total.SURVEY_LC1_1F
 0.00000,28.20652,CI.l(95%).Total.SURVEY_LC1_1G
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_1H
  59.02715,2117.16721,CI.l(95%).Total.SURVEY_LU1_1U1
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LU1_1U2
  4.029503,321.312785,CI.l(95%).Total.SURVEY_LU1_1U3
 0.00000,71.76887,CI.l(95%).Total.SURVEY_LU1_1U4
 0.00000,64.47205,CI.l(95%).Total.SURVEY_LC1_2A1
  0.0000,148.1722,CI.l(95%).Total.SURVEY_LC1_2A2
 0.00000,24.17702,CI.l(95%).Total.SURVEY_LC1_2A3
  0.0000,318.3307,CI.l(95%).Total.SURVEY_LC1_2B1
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_2B2
 0.00000,20.14752,CI.l(95%).Total.SURVEY_LC1_2B3
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2B4
  0.0000,124.9146,CI.l(95%).Total.SURVEY_LC1_2B5
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2B7
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2B8
20.14752, 0.00000,CI.l(95%).Total.SURVEY_LC1_2Bx
  0.0000,635.1959,CI.l(95%).Total.SURVEY_LC1_2C1
 18.99079,170.89513,CI.l(95%).Total.SURVEY_LC1_2C2
  7.296822,102.765118,CI.l(95%).Total.SURVEY_LC1_2C3
3.480423,0.000000,CI.l(95%).Total.SURVEY_LC1_2Cx
 0.00000,19.22811,CI.l(95%).Total.SURVEY_LC1_2D1
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_2D2
 0.00000,95.94589,CI.l(95%).Total.SURVEY_LC1_2E1
  8.059006,648.750000,CI.l(95%).Total.SURVEY_LC1_2E2
 0.00000,27.44434,CI.l(95%).Total.SURVEY_LC1_2E3
4.029503,0.000000,CI.l(95%).Total.SURVEY_LC1_2Ex
 0.00000,32.23602,CI.l(95%).Total.SURVEY_LC1_2F4
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_2G1
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LC1_2G2
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_2H1
  28.20652,1245.11646,CI.l(95%).Total.SURVEY_LU1_2U11
 30.82062,868.02125,CI.l(95%).Total.SURVEY_LU1_2U12
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_2U14
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LU1_2U22
  0.0000,132.2114,CI.l(95%).Total.SURVEY_LU1_2U31
0.000000,8.059006,CI.l(95%).Total.SURVEY_LU1_2U32
 0.00000,11.53943,CI.l(95%).Total.SURVEY_LU1_2U33
0.000000,8.059006,CI.l(95%).Total.SURVEY_LU1_2U34
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LU1_2U35
 0.00000,52.38354,CI.l(95%).Total.SURVEY_LU1_2U36
 4.029503,92.129491,CI.l(95%).Total.SURVEY_LU1_2U37
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_2U41
 0.00000,67.73937,CI.l(95%).Total.SURVEY_LU1_2U42
 0.00000,48.35404,CI.l(95%).Total.SURVEY_LC1_3A11
