SE11.No,SE12.No,SE21.No,SE22.No,SE23.No,SE31.No,SE32.No,SE33.No,SE11.Yes,SE12.Yes,SE21.Yes,SE22.Yes,SE23.Yes,SE31.Yes,SE32.Yes,SE33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 126.20345, 964.67233,1033.52093,  57.58065, 287.35911,3159.44937,3382.50263,9694.99637,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,CI.u(95%).Total.SURVEY_LC1_3C3x
  4.199141,  0.000000,  0.000000, 65.381707,  0.000000,  0.000000,180.584270,336.016505,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,CI.u(95%).Total.SURVEY_LC1_3Cxx
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  60.46725, 751.40884, 496.11538, 320.61640, 319.83054,1765.28238,2313.65115,3834.88530,CI.u(95%).Total.SURVEY_LC1_3D10
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,   49.99084,  409.93943,  515.09738,   96.17028,  621.04447, 2430.17911, 7194.30864,17901.63100,CI.u(95%).Total.SURVEY_LC1_3D20
 0.000000, 0.000000, 4.132987, 0.000000, 0.000000, 0.000000, 0.000000,11.502705, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LC1_3D2x
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,141.92843, 10.10943,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,CI.u(95%).Total.SURVEY_LC1_3Dxx
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 224.3585, 922.7549,1239.5291, 353.5558,1733.8738, 554.5404, 414.8916, 535.8652,CI.u(95%).Total.SURVEY_LC1_3E10
 0.000000,29.458694, 0.000000, 0.000000, 4.140385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LC1_3E1x
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 720.7959,3466.1739,2791.8873,2086.7603,3283.9948,2343.2855,1141.5711,1953.1122,CI.u(95%).Total.SURVEY_LC1_3E20
0.000000,4.149324,8.242466,0.000000,4.140385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,CI.u(95%).Total.SURVEY_LC1_3E2x
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 152.8861,1180.1800, 640.5554, 678.7658, 599.1989,1173.7107,1107.6813,1154.3146,CI.u(95%).Total.SURVEY_LC1_3E30
 0.00000,31.35678, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,CI.u(95%).Total.SURVEY_LC1_3Exx
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  57.55748,  26.64660,  31.00994,  23.86269, 178.06975,  88.67521, 905.76063,6805.39837,CI.u(95%).Total.SURVEY_LC1_3F10
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 12.712733, 25.025990, 12.558279, 33.988402,  8.390614, 70.243857, 45.920720,157.635707,CI.u(95%).Total.SURVEY_LC1_3F20
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  45.90819, 180.43327,  78.79478,  20.06915,  33.33494, 325.76975,1820.10594,7880.98552,CI.u(95%).Total.SURVEY_LC1_3F30
0.000000,4.149324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,CI.u(95%).Total.SURVEY_LC1_3F3x
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,120.6957,944.9311,305.7914,169.5487,349.3328,952.1478,351.1824,509.3527,CI.u(95%).Total.SURVEY_LC1_3F40
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  587.2047, 4552.8333, 2607.7314,  415.1100, 5205.0029, 7720.4339, 5491.1093,10878.6716,CI.u(95%).Total.SURVEY_LC1_3G11
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.132242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,CI.u(95%).Total.SURVEY_LC1_3G12
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.999902,  98.177412,  84.335240,  28.678193, 110.956641, 262.808423, 441.033018,1603.102746,CI.u(95%).Total.SURVEY_LC1_3G21
0.000000,0.000000,0.000000,0.000000,4.067057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,CI.u(95%).Total.SURVEY_LC1_3G2x
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.396725, 4.095740, 4.090344,12.343077, 8.298416, 4.046193, 0.000000, 3.981450,CI.u(95%).Total.SURVEY_LC1_3G40
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  91.32228,1046.64331,CI.u(95%).Total.SURVEY_LC1_3G50
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  89.98277, 600.76929, 336.48885, 123.87896, 223.66737, 595.43782, 968.67884,2721.80757,CI.u(95%).Total.SURVEY_LC1_3H11
    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    4.112106,  398.086965,  567.783573,   20.258696,  442.033697, 2697.058528, 4967.346044,13798.459078,CI.u(95%).Total.SURVEY_LC1_3H12
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.199141,0.000000,0.000000,4.060433,4.077953,0.000000,3.972573,0.000000,CI.u(95%).Total.SURVEY_LC1_3H21
  69.32343, 946.69274, 355.39283, 143.47090, 726.96801, 310.15749, 157.36245,  50.38852,1018.07434,7192.25020,4916.13490,5836.38163,6763.64323,2726.56005, 940.49822,1201.32266,CI.u(95%).Total.SURVEY_LU1_3U111
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 54.45975,234.10623, 38.31946,141.53495, 75.09807, 36.71326, 21.64730, 32.69478,CI.u(95%).Total.SURVEY_LU1_3U112
 0.000000, 0.000000, 0.000000, 4.060433, 0.000000, 0.000000, 0.000000, 0.000000,12.361845, 4.076046, 3.876043,12.983185,96.164139, 8.199002, 0.000000, 7.111038,CI.u(95%).Total.SURVEY_LU1_3U113
  158.0481, 1625.4451, 1338.6967,  100.5589,  306.0378, 6912.9837, 6358.1676, 9205.4507, 3451.1311,24173.6871,22812.7705, 6037.7933,17097.4903,45132.4927,43913.6567,71735.2672,CI.u(95%).Total.SURVEY_LU1_3U120
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,262.54318,655.48930,  0.00000,  0.00000, 74.08022, 43.96363,  0.00000,122.14868,CI.u(95%).Total.SURVEY_LU1_3U130
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 21.18789, 54.57027, 40.44630, 37.24178, 29.38349, 34.79830, 84.05437,126.14592,CI.u(95%).Total.SURVEY_LU1_3U140
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,163.42666, 20.83051,CI.u(95%).Total.SURVEY_LU1_3U150
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  35.773256,  14.043812,   3.942009,  24.661396,  64.386458, 467.306452,1113.706611,CI.u(95%).Total.SURVEY_LU1_3U210
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,31.531899, 0.000000, 4.008304, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U221
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.115310,0.000000,0.000000,4.189859,4.008304,0.000000,7.905517,CI.u(95%).Total.SURVEY_LU1_3U223
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,22.159444, 0.000000, 0.000000, 7.887252,CI.u(95%).Total.SURVEY_LU1_3U224
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,35.59233, 0.00000, 0.00000, 0.00000, 0.00000,CI.u(95%).Total.SURVEY_LU1_3U225
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.046766, 0.000000,93.618856,64.091440, 0.000000, 3.962499, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U226
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.115310, 8.242165,93.618856,18.443510, 8.016608,32.974020,11.938874,CI.u(95%).Total.SURVEY_LU1_3U227
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 31.931486,159.598159, 12.291388,  8.080077, 20.440283, 82.749156, 45.374839, 16.138546,CI.u(95%).Total.SURVEY_LU1_3U311
   0.00000,  31.35678,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 376.24499, 823.43562, 877.45645, 468.02904,1199.32331,1483.04352, 986.32531,1479.14540,CI.u(95%).Total.SURVEY_LU1_3U312
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  84.716563,1072.639117, 558.133968,   7.873151,3060.293719,2463.588860,  72.243560, 106.314989,CI.u(95%).Total.SURVEY_LU1_3U313
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,21.386970,12.356303,16.418198,12.218039,37.359033,16.369609, 4.053729,15.881267,CI.u(95%).Total.SURVEY_LU1_3U314
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.936718,0.000000,0.000000,0.000000,0.000000,0.000000,CI.u(95%).Total.SURVEY_LU1_3U315
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,35.504465, 0.000000, 0.000000, 4.105935, 0.000000, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U316
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,16.371729,16.204520,59.235772,85.657902,23.369065, 7.811138,22.836142,CI.u(95%).Total.SURVEY_LU1_3U317
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 29.89363,190.42780,143.67173, 55.63646, 71.94649,182.91171,458.30610,531.44842,CI.u(95%).Total.SURVEY_LU1_3U319
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,62.110812, 4.132987, 4.182903, 0.000000, 0.000000, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U321
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.349683,12.191357, 0.000000,21.373112, 4.200755, 0.000000, 4.075103, 3.943626,CI.u(95%).Total.SURVEY_LU1_3U322
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,20.704183,73.855539,49.739409,17.253329,60.285224, 4.280899, 0.000000, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U330
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 22.04655, 52.67455, 20.33882, 56.87220,127.33867,115.30216, 33.05418, 21.00446,CI.u(95%).Total.SURVEY_LU1_3U341
