PL21.No,PL22.No,PL41.No,PL42.No,PL43.No,PL51.No,PL52.No,PL61.No,PL62.No,PL63.No,PL71.No,PL72.No,PL81.No,PL82.No,PL84.No,PL91.No,PL92.No,PL21.Yes,PL22.Yes,PL41.Yes,PL42.Yes,PL43.Yes,PL51.Yes,PL52.Yes,PL61.Yes,PL62.Yes,PL63.Yes,PL71.Yes,PL72.Yes,PL81.Yes,PL82.Yes,PL84.Yes,PL91.Yes,PL92.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 309.1806, 589.9285,6088.9814,3597.2789,1616.9212,3729.0988,2183.4165,4879.0639,3914.1004,2160.6596, 682.7601, 230.8961,2582.5806, 605.7695,1041.0696, 225.8103,2890.9332,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,4121.275,1694.943,2500.031,2973.930,1330.884,3068.583,1013.161,1763.849,4003.474,1809.516,2379.437,1496.129,2920.443,4960.558,1980.968,1282.648,2407.284,Total.SURVEY_LC1_2C1
   0.000000,   3.951987,  75.907137,  78.073266,  29.701486,  50.617079,   0.000000,   4.045859,  29.534572,   8.125020,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  12.620303, 865.101533,2144.062417,4782.663887,4539.001627,4253.382495,3038.781727,1061.379093,2994.137728,3282.704096,3646.155373,2328.917189,1729.274002,2473.059954,2187.255750,2986.255049, 643.203644,4243.693270,Total.SURVEY_LC1_2C2
   0.000000,   4.046779,  24.478854,  26.335676,   3.779255,  45.332572,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  13.185361,   0.000000,   0.000000,   0.000000,1591.640280,1552.806158,1418.840511,2272.364740,1272.340194, 903.808045, 811.180929, 512.760827,1831.546836,1794.462524,1018.126260,1172.060230,2012.137670,1692.295621,2216.450535, 653.554341,2201.324040,Total.SURVEY_LC1_2C3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 93.182414, 38.640736, 24.838726, 29.868938,  4.046741, 32.962005, 12.125793,  8.453229,117.209568, 43.288489, 43.970768, 36.666065,  8.358694, 41.688876, 21.954856, 20.099914, 72.225571,Total.SURVEY_LC1_2D1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,122.708628, 42.114372, 64.443109,137.565841, 34.081731, 68.807214,  3.833575, 25.603187,194.741843,145.065505, 98.186433, 60.678797,124.195613, 73.939812, 52.879828, 71.103058,116.172565,Total.SURVEY_LC1_2D2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,223.85593,599.41129,144.60882,143.63973, 61.33794,178.60108, 40.53172, 69.00866,175.95841, 94.61482,308.10437,200.71426, 48.54884,128.71880, 75.27565,139.80254,238.27319,Total.SURVEY_LC1_2E1
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,3740.5929,1893.8765,3918.5752,3344.1397,2438.4857,2706.9700, 941.1491,1821.5945,5002.7895,2573.4669,2656.2480,2062.5049,4050.5759,3701.4804,5605.0692,1380.4405,6322.8369,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,425.21455,174.32126,368.65495,239.66204,277.25574,543.20479,113.54778,279.06382,361.88547,551.06940,350.13369,229.42215,744.32835,447.90188, 98.63811, 84.00864,288.66731,Total.SURVEY_LC1_2E3
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,21.99274, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 9.26597, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.946236, 8.575388,53.282930,22.393646, 4.117195,64.677812,24.936277,21.306412,25.991593,69.252928,15.023145, 9.265970,22.013946, 4.412858,13.785769,22.738855,39.830158,Total.SURVEY_LC1_2F2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.086093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.826684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2F3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 461.2009, 264.1099, 934.6684, 634.5771, 527.0622, 687.9918, 203.9686, 387.9768, 513.1715, 405.6143, 337.9183, 535.8151,1715.5252, 392.7654, 258.0714, 164.5805,1196.6843,Total.SURVEY_LC1_2F4
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 102.24534, 208.24933, 452.14918, 642.02670, 188.11550, 117.32871, 105.45979, 283.39473,1048.97040, 456.74728, 106.90256,  59.45107, 133.86375,  84.62288, 214.49978,  32.15863, 141.58735,Total.SURVEY_LC1_2G1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 58.673959,  3.868147, 32.985208, 38.002918, 44.401745, 24.784574, 12.015190,162.603625, 42.419518, 74.870220, 16.450307, 30.489791, 81.763773, 93.425397, 20.774289, 62.832497, 86.719194,Total.SURVEY_LC1_2G2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 38.00294, 37.04332,157.05902,539.01054,163.69256, 84.07197, 17.01673,127.33715,402.58695,116.95899,105.09731, 59.51152,194.27772, 43.28269,381.22342, 19.93594,142.74903,Total.SURVEY_LC1_2H1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.082593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2H2
  296.6449,  585.4248, 6088.9814, 3600.6453, 1616.9212, 3729.0988, 2183.4165, 4874.5847, 3914.1004, 2160.6596,  682.7601,  227.1066, 2582.5806,  605.7695, 1041.0696,  225.8103, 2890.9332, 5818.5840, 3616.1227,11519.6991, 6020.4656, 3188.1300, 6676.0457, 3413.4935, 5976.8523, 7693.5830, 6046.8836, 9761.2950, 5393.9260,12559.5389, 5791.2412, 9832.5040, 1714.9865,14443.8261,Total.SURVEY_LU1_2U11
   0.000000,   7.998766,  92.213805,  69.582447,  33.480740,  91.985225,   0.000000,   4.045859,  29.534572,   8.125020,   0.000000,   0.000000,   0.000000,  13.185361,   0.000000,   0.000000,  12.620303,5638.145050,4573.653753,8165.703718,8711.845184,7265.898725,6233.961169,2832.479633,4344.835880,8506.448157,7070.308779,4673.768147,4277.382243,6982.310113,7426.611787,6792.161950,1811.337380,8278.494375,Total.SURVEY_LU1_2U12
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 46.01018, 68.01999, 84.83973, 60.36366, 36.53016, 15.54675, 20.91533,  0.00000, 24.30235, 28.45444, 25.81419, 43.37139,109.89217, 39.71814, 18.89949,  0.00000, 56.07623,Total.SURVEY_LU1_2U13
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 75.906021, 60.235687,100.629853, 30.666291,  4.218915,123.373940, 39.590437, 26.565386, 42.877369, 81.463478,126.530763, 21.800365, 16.573900, 12.185135, 33.734860,  3.919003, 40.409775,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.152429,0.000000,0.000000,0.000000,0.000000,0.000000,4.000731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_2U15
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.080560, 0.000000,15.219914, 0.000000,10.495078, 0.000000, 5.864169, 0.000000, 0.000000,13.464247, 9.749133, 5.972452, 0.000000,11.977491,14.067516, 0.000000, 8.688546,Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,56.997882,58.729248,48.350140,12.123382, 0.000000,13.927325,20.326506,11.961709,11.803215, 3.992170, 3.838113,40.750342,24.492541,44.524833, 0.000000,29.867800,49.381352,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,551.7434,577.7162,765.3028,437.9404,514.0216,629.7219,225.5076,594.9307,435.0704,534.0053,569.3008,276.3255,536.3204,856.8723,322.2276,429.9591,788.3795,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.196006,14.955227,12.970529, 0.000000, 0.000000,35.968300, 3.833575, 0.000000, 4.041296,25.392095, 7.839890,12.418735,15.831130, 0.000000, 0.000000, 8.282447,12.137188,Total.SURVEY_LU1_2U32
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,83.511322,65.696088,95.461763,18.994708,26.633711,24.828192,33.891307,39.797307,16.900228,12.167016,45.632955,17.324185, 4.066436,44.329179, 0.000000,28.024479,42.710003,Total.SURVEY_LU1_2U33
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 57.04660,190.74096, 29.62942, 68.97448, 40.62729, 19.43779,  4.08853, 13.76636, 74.89791, 56.06217, 41.79279, 36.04618, 11.99224, 24.96860, 22.25347,  0.00000, 64.31223,Total.SURVEY_LU1_2U34
  0.000000,  0.000000,  0.000000, 22.432993,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 46.474490, 61.299342,280.063212,530.641168, 34.228401,206.648494,  7.782516,260.772517, 21.566781, 35.542994, 31.940504, 35.723690, 41.370839, 53.828822,  7.854165, 65.155741, 56.720610,Total.SURVEY_LU1_2U35
  0.000000,  0.000000,  4.086093,  0.000000,  0.000000,  0.000000,  0.000000,  4.479180,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,119.979759,302.312888,390.057044,711.527012,186.386469,229.020935,150.523156,226.260752,884.041134,532.445191, 98.650037, 30.653536, 94.429524, 93.870236,193.251350,127.111147,106.640560,Total.SURVEY_LU1_2U36
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.964426,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1083.913243, 946.649593,1102.779964, 333.651905, 284.844185, 516.028885, 264.946828, 484.332082, 445.336099, 514.541938, 831.652429, 473.286684, 963.231265, 835.865785, 399.392134, 689.818826,1056.108721,Total.SURVEY_LU1_2U37
12.535713, 4.503741, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.789548, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,58.437279,89.368920,33.861484,17.208573,29.271261,49.235386, 5.462115,21.407682,50.756838,56.710175,65.852855,43.876523,35.200405,52.411070,27.980463,33.873980,62.655028,Total.SURVEY_LU1_2U41
   0.000000,   0.000000,   4.086093,   9.027057,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1220.793644,1105.419680, 992.063888,1786.909808, 716.312373,1348.206744, 199.878224,1083.406793,1855.740204, 989.781857,1242.582317, 769.246012,1145.169549,1938.640507,1481.603382, 935.853335,1484.906317,Total.SURVEY_LU1_2U42
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,197.48950,312.02656,451.12390,121.11091, 79.56199,277.26302,101.21370,231.94798,162.74105,266.52317,204.23806,118.25421,243.42464,204.61922,100.37997,179.16742,375.41457,Total.SURVEY_LC1_3A11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,11.416850, 3.970515, 8.073911, 0.000000, 9.149803, 0.000000, 0.000000, 0.000000,24.840171, 0.000000,16.732025,22.640438, 3.742242,14.399303,12.631374, 3.605053,Total.SURVEY_LC1_3A12
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,16.434855, 7.986437,30.951621, 0.000000,16.186964, 0.000000, 0.000000, 3.963878, 0.000000, 0.000000,10.443639, 4.632985, 0.000000, 0.000000, 0.000000, 0.000000,24.880349,Total.SURVEY_LC1_3A13
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,138.54956,313.76552,251.13239, 97.96560, 67.01634,140.89507, 22.65843, 51.25445, 67.75538,126.58408,114.12643, 81.48371,179.53442, 58.37946,122.00322, 97.15371,129.68703,Total.SURVEY_LC1_3A21
