No,Yes,variable
    7.107258,37812.546892,CI.l(95%).Total.SURVEY_LU1_1U3
 2626.429,50342.613,CI.l(95%).Total.SURVEY_LU1_1U4
  0.0000,698.3434,CI.l(95%).Total.SURVEY_LC1_2A1
   0.000,4813.903,CI.l(95%).Total.SURVEY_LC1_2A2
  0.0000,259.8384,CI.l(95%).Total.SURVEY_LC1_2A3
   0.000,5295.512,CI.l(95%).Total.SURVEY_LC1_2B1
 0.00000,75.35387,CI.l(95%).Total.SURVEY_LC1_2B2
  0.0000,242.2147,CI.l(95%).Total.SURVEY_LC1_2B3
 0.00000,93.04094,CI.l(95%).Total.SURVEY_LC1_2B4
   0.00,3534.03,CI.l(95%).Total.SURVEY_LC1_2B5
 0.00000,90.00372,CI.l(95%).Total.SURVEY_LC1_2B7
  0.00000,-30.68259,CI.l(95%).Total.SURVEY_LC1_2B8
1629.556,   0.000,CI.l(95%).Total.SURVEY_LC1_2Bx
    0.00,14780.33,CI.l(95%).Total.SURVEY_LC1_2C1
 11443.02,101026.10,CI.l(95%).Total.SURVEY_LC1_2C2
 1827.738,76315.275,CI.l(95%).Total.SURVEY_LC1_2C3
-103.193,   0.000,CI.l(95%).Total.SURVEY_LC1_2Cx
-229.4562,4450.3258,CI.l(95%).Total.SURVEY_LC1_2D1
    0.00,10054.06,CI.l(95%).Total.SURVEY_LC1_2D2
4.174207,0.000000,CI.l(95%).Total.SURVEY_LC1_2Dx
   0.000,2082.444,CI.l(95%).Total.SURVEY_LC1_2E1
   0.000,9442.822,CI.l(95%).Total.SURVEY_LC1_2E2
   0.000,3812.893,CI.l(95%).Total.SURVEY_LC1_2E3
  0.0000,918.9351,CI.l(95%).Total.SURVEY_LC1_2F1
  0.0000,147.9051,CI.l(95%).Total.SURVEY_LC1_2F2
  0.0000,715.6485,CI.l(95%).Total.SURVEY_LC1_2F3
   0.000,3245.597,CI.l(95%).Total.SURVEY_LC1_2F4
7.697806,0.000000,CI.l(95%).Total.SURVEY_LC1_2Fx
    0.00,32550.26,CI.l(95%).Total.SURVEY_LC1_2G1
  0.0000,938.0513,CI.l(95%).Total.SURVEY_LC1_2G2
0.000000,1.722029,CI.l(95%).Total.SURVEY_LC1_2G3
    0.00,16793.74,CI.l(95%).Total.SURVEY_LC1_2H1
 0.00000,55.87563,CI.l(95%).Total.SURVEY_LC1_2H2
-1.212603, 0.000000,CI.l(95%).Total.SURVEY_LC1_2Hx
 1629.556,21630.547,CI.l(95%).Total.SURVEY_LU1_2U11
 11024.26,197785.15,CI.l(95%).Total.SURVEY_LU1_2U12
  0.0000,133.1245,CI.l(95%).Total.SURVEY_LU1_2U13
   8.833857,1288.360321,CI.l(95%).Total.SURVEY_LU1_2U14
   0.0000,-162.9819,CI.l(95%).Total.SURVEY_LU1_2U15
 0.00000000,-0.02180758,CI.l(95%).Total.SURVEY_LU1_2U21
 0.00000,95.53799,CI.l(95%).Total.SURVEY_LU1_2U22
   4.174207,5427.523082,CI.l(95%).Total.SURVEY_LU1_2U31
 0.00000,12.28262,CI.l(95%).Total.SURVEY_LU1_2U32
  0.00000,-65.12919,CI.l(95%).Total.SURVEY_LU1_2U33
 0.0000,49.3849,CI.l(95%).Total.SURVEY_LU1_2U34
  3.729983,185.831729,CI.l(95%).Total.SURVEY_LU1_2U35
   -0.1266766,26733.7506880,CI.l(95%).Total.SURVEY_LU1_2U36
  -5.848417,3599.478519,CI.l(95%).Total.SURVEY_LU1_2U37
  0.0000,470.5517,CI.l(95%).Total.SURVEY_LU1_2U41
 2626.429,49485.956,CI.l(95%).Total.SURVEY_LU1_2U42
  0.000,599.358,CI.l(95%).Total.SURVEY_LC1_3A11
 0.00000,26.55139,CI.l(95%).Total.SURVEY_LC1_3A12
0.000000,4.175516,CI.l(95%).Total.SURVEY_LC1_3A13
  0.000,877.685,CI.l(95%).Total.SURVEY_LC1_3A21
   0.000,3596.976,CI.l(95%).Total.SURVEY_LC1_3A22
  0.0000,259.8384,CI.l(95%).Total.SURVEY_LC1_3A30
   0.000,1127.568,CI.l(95%).Total.SURVEY_LC1_3B11
  0.00000,-31.44446,CI.l(95%).Total.SURVEY_LC1_3B12
   0.00,1887.96,CI.l(95%).Total.SURVEY_LC1_3B13
 0.00000,31.71866,CI.l(95%).Total.SURVEY_LC1_3B14
   0.000,1406.969,CI.l(95%).Total.SURVEY_LC1_3B15
0.000000,7.680931,CI.l(95%).Total.SURVEY_LC1_3B18
0.000000,4.372418,CI.l(95%).Total.SURVEY_LC1_3B21
 0.000000,-6.200888,CI.l(95%).Total.SURVEY_LC1_3B22
  0.00000,-49.00915,CI.l(95%).Total.SURVEY_LC1_3B23
 0.000000,-4.732261,CI.l(95%).Total.SURVEY_LC1_3B31
  0.0000,202.8238,CI.l(95%).Total.SURVEY_LC1_3B32
0.000000,1.335945,CI.l(95%).Total.SURVEY_LC1_3B35
 0.000000,-7.343001,CI.l(95%).Total.SURVEY_LC1_3B37
 0.00000,36.57829,CI.l(95%).Total.SURVEY_LC1_3B41
 0.00000,-4.55224,CI.l(95%).Total.SURVEY_LC1_3B43
  0.00000,-34.66538,CI.l(95%).Total.SURVEY_LC1_3B45
  0.0000,123.8008,CI.l(95%).Total.SURVEY_LC1_3B51
  0.00000,-35.10418,CI.l(95%).Total.SURVEY_LC1_3B52
  0.0000,196.7682,CI.l(95%).Total.SURVEY_LC1_3B53
0.000000,4.382887,CI.l(95%).Total.SURVEY_LC1_3B54
   0.00,2861.85,CI.l(95%).Total.SURVEY_LC1_3B55
 0.00000,53.37934,CI.l(95%).Total.SURVEY_LC1_3B71
0.000000,4.413947,CI.l(95%).Total.SURVEY_LC1_3B73
 0.00000,32.21043,CI.l(95%).Total.SURVEY_LC1_3B75
  0.00000,-34.66538,CI.l(95%).Total.SURVEY_LC1_3B83
0.00000,3.98279,CI.l(95%).Total.SURVEY_LC1_3B84
1604.728,   0.000,CI.l(95%).Total.SURVEY_LC1_3Bx1
12.58741, 0.00000,CI.l(95%).Total.SURVEY_LC1_3Bx2
1.107217,0.000000,CI.l(95%).Total.SURVEY_LC1_3Bxx
    0.00,14780.33,CI.l(95%).Total.SURVEY_LC1_3C10
    0.00,21480.81,CI.l(95%).Total.SURVEY_LC1_3C21
    0.00,58598.31,CI.l(95%).Total.SURVEY_LC1_3C22
    0.0,14945.1,CI.l(95%).Total.SURVEY_LC1_3C23
11443.02,    0.00,CI.l(95%).Total.SURVEY_LC1_3C2x
    0.00,21974.01,CI.l(95%).Total.SURVEY_LC1_3C31
    0.00,29654.45,CI.l(95%).Total.SURVEY_LC1_3C32
    0.00,19128.77,CI.l(95%).Total.SURVEY_LC1_3C33
1827.738,   0.000,CI.l(95%).Total.SURVEY_LC1_3C3x
-103.193,   0.000,CI.l(95%).Total.SURVEY_LC1_3Cxx
   0.000,4450.326,CI.l(95%).Total.SURVEY_LC1_3D10
