HR02.No,HR03.No,HR06.No,HR02.Yes,HR03.Yes,HR05.Yes,HR06.Yes,variable
No,No,No,Yes,Yes,Yes,Yes,flag_two
 0.00000, 0.00000, 0.00000,21.11153,24.14370, 0.00000,51.90531,Total.SURVEY_LC1_3B21
 0.00000, 0.00000, 0.00000,61.55045, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B22
  0.0000,  0.0000,  0.0000,319.0352,  0.0000,  0.0000, 33.3242,Total.SURVEY_LC1_3B31
 0.00000, 0.00000, 0.00000,16.90022, 0.00000, 0.00000,44.90768,Total.SURVEY_LC1_3B32
  0.00000,  0.00000,  0.00000,436.15904,  0.00000,  0.00000, 47.49715,Total.SURVEY_LC1_3B33
 0.00000, 0.00000, 0.00000,15.09733, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3B36
 0.000000, 0.000000, 0.000000, 0.000000, 5.775415, 0.000000,22.737890,Total.SURVEY_LC1_3B37
 0.000000, 0.000000, 0.000000,11.588192, 4.275766, 0.000000, 3.631948,Total.SURVEY_LC1_3B41
 0.000000, 0.000000, 0.000000, 9.625212,27.556922, 0.000000,21.064121,Total.SURVEY_LC1_3B43
 0.00000, 0.00000, 0.00000,17.88693,18.21161, 0.00000,16.58639,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000,34.17911,54.00756, 0.00000,14.96032,Total.SURVEY_LC1_3B52
 0.000000, 0.000000, 0.000000, 5.367792, 6.998856, 0.000000,15.544628,Total.SURVEY_LC1_3B53
  0.00000,  0.00000,  0.00000,167.02494, 48.37154, 30.70502, 66.19364,Total.SURVEY_LC1_3B55
 0.00000, 0.00000, 0.00000,50.81245,14.30409, 0.00000,46.34097,Total.SURVEY_LC1_3B71
 0.000000, 0.000000, 0.000000,23.107190, 0.000000, 0.000000, 8.893662,Total.SURVEY_LC1_3B72
 0.000000, 0.000000, 0.000000, 8.122431, 7.440108, 0.000000,14.436853,Total.SURVEY_LC1_3B73
 0.000000, 0.000000, 0.000000,91.811963,28.077612, 4.496145,65.607657,Total.SURVEY_LC1_3B74
  0.00000,  0.00000,  0.00000, 81.01244,119.86840, 10.23287, 42.41059,Total.SURVEY_LC1_3B75
0.000000,0.000000,0.000000,0.000000,4.035446,0.000000,0.000000,Total.SURVEY_LC1_3B77
  0.0000,  0.0000,  0.0000,  0.0000,429.5517,  0.0000,  0.0000,Total.SURVEY_LC1_3B81
  0.00000,  0.00000,  0.00000, 72.39518,135.62764,  0.00000, 42.56800,Total.SURVEY_LC1_3B82
0.000000,0.000000,0.000000,4.293837,0.000000,0.000000,6.045636,Total.SURVEY_LC1_3B83
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,11.36894,Total.SURVEY_LC1_3B84
1204.62202,  60.81754,  74.23368,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_3Bx1
67.44260,29.15142,18.62088, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bx2
    0.0000,    0.0000,    0.0000,10310.4504, 7503.0321,  280.2249, 3352.4737,Total.SURVEY_LC1_3C10
  0.000000,  0.000000,  0.000000, 53.604163,429.622551,  0.000000,  9.380985,Total.SURVEY_LC1_3C21
