FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
 0.00000, 0.00000,12.53757, 0.00000,Total.SURVEY_LC1_3G30
   0.00000,   0.00000,5089.09831,  10.13348,Total.SURVEY_LC1_3H11
    0.00,    0.00,12594.96,    0.00,Total.SURVEY_LC1_3H12
 0.00000, 0.00000,53.18990,14.39622,Total.SURVEY_LC1_3H21
6.337883,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Hxx
 2092.780528,    7.378644,21296.909008,  183.712265,Total.SURVEY_LU1_3U111
  0.00000,  0.00000,679.87626,  5.00183,Total.SURVEY_LU1_3U112
  8.353409,  0.000000,100.254860,  0.000000,Total.SURVEY_LU1_3U113
 13551.77694,    14.42223,200596.15695,   911.15309,Total.SURVEY_LU1_3U120
  0.0000,  0.0000,443.0204,  0.0000,Total.SURVEY_LU1_3U130
   8.833857,   0.000000,1667.360098,   0.000000,Total.SURVEY_LU1_3U140
  0.0000,  0.0000,191.4333,  0.0000,Total.SURVEY_LU1_3U150
 0.00000, 0.00000,66.97853, 0.00000,Total.SURVEY_LU1_3U210
 0.0000, 0.0000,24.8968, 0.0000,Total.SURVEY_LU1_3U223
0.000000,0.000000,4.062944,0.000000,Total.SURVEY_LU1_3U224
 0.0000, 0.0000,42.7866, 0.0000,Total.SURVEY_LU1_3U225
 0.00000, 0.00000,23.98425, 0.00000,Total.SURVEY_LU1_3U226
 0.0000, 0.0000,42.2637, 0.0000,Total.SURVEY_LU1_3U227
0.000000,0.000000,4.314158,0.000000,Total.SURVEY_LU1_3U228
  0.0000,  0.0000,137.8598,  0.0000,Total.SURVEY_LU1_3U311
   0.0000,   0.0000,5112.4303,  20.3905,Total.SURVEY_LU1_3U312
  0.0000,  0.0000,205.9759,  0.0000,Total.SURVEY_LU1_3U313
 0.00000, 0.00000,49.15066, 0.00000,Total.SURVEY_LU1_3U314
0.000000,0.000000,8.669307,0.000000,Total.SURVEY_LU1_3U316
  0.0000,  0.0000,154.0848,  0.0000,Total.SURVEY_LU1_3U317
  4.174207,  0.000000,670.562655,  0.000000,Total.SURVEY_LU1_3U319
0.000000,0.000000,3.985451,0.000000,Total.SURVEY_LU1_3U321
 0.0000, 0.0000,43.6827, 0.0000,Total.SURVEY_LU1_3U322
  0.00000,  0.00000,228.95404, 14.90859,Total.SURVEY_LU1_3U330
  0.000,  0.000,120.038,  0.000,Total.SURVEY_LU1_3U341
  3.729983,  0.000000,552.134891,  0.000000,Total.SURVEY_LU1_3U350
    5.377265,    0.000000,27554.320094,   56.747906,Total.SURVEY_LU1_3U361
  0.0000,  0.0000,274.6065,  0.0000,Total.SURVEY_LU1_3U362
  38.46904,   0.00000,4180.09655,  59.71259,Total.SURVEY_LU1_3U370
0.0000,0.0000,4.1396,0.0000,Total.SURVEY_LU1_3U411
 0.0000, 0.0000,49.8065, 0.0000,Total.SURVEY_LU1_3U413
 0.00000, 0.00000,85.40127, 0.00000,Total.SURVEY_LU1_3U414
  0.0000,  0.0000,742.5895,  0.0000,Total.SURVEY_LU1_3U415
 3864.299790,    9.309228,51841.418458,  298.263133,Total.SURVEY_LU1_3U420
 19531.4218,    31.1101,305040.3879,  1454.8782,Total.settlement0
   46.37323,    0.00000,12163.81708,   95.01168,Total.settlement1
  2502.306171,     7.378644,105853.071196,   435.639852,Total.fao_class_name0
 16811.45706,    23.73145,203989.59277,  1035.58773,Total.fao_class_name1
 220.18548,   0.00000,5944.54939,  36.12635,Total.fao_class_name2
  43.84631,   0.00000,1416.99162,  42.53598,Total.fao_class_name3
 19530.2187,    31.1101,284523.0089,  1433.4294,Total.lue0
   47.57629,    0.00000,32681.19610,  116.46050,Total.lue1
 19564.7870,    31.1101,308712.2023,  1514.5908,Total.lud0
  13.00806,   0.00000,8492.00270,  35.29908,Total.lud1
1445.849789,   4.260062,1450.163608,   4.382346,SE.Total.area
  0.0000,  0.0000,509.9459,  0.0000,SE.Total.SURVEY_LC1_1A
244.333125,  4.260062,360.324772,  5.280524,SE.Total.SURVEY_LC1_1B
1404.49237,   0.00000,1923.36141,  10.48723,SE.Total.SURVEY_LC1_1C
241.1519,  0.0000,987.8043,  0.0000,SE.Total.SURVEY_LC1_1D
  0.00000,  0.00000,857.72833, 11.69571,SE.Total.SURVEY_LC1_1E
  4.628600,  0.000000,566.908007,  4.147636,SE.Total.SURVEY_LC1_1F
  0.0000,  0.0000,223.0118,  0.0000,SE.Total.SURVEY_LC1_1G
  3.85236,  0.00000,459.41863,  0.00000,SE.Total.SURVEY_LC1_1H
1319.743967,   4.260062,1907.074394,  14.026124,SE.Total.SURVEY_LU1_1U1
 0.00000, 0.00000,41.68954, 0.00000,SE.Total.SURVEY_LU1_1U2
 22.77758,  0.00000,834.50706, 11.69571,SE.Total.SURVEY_LU1_1U3
 636.32797,   0.00000,1366.82807,  10.01124,SE.Total.SURVEY_LU1_1U4
  0.0000,  0.0000,169.9709,  0.0000,SE.Total.SURVEY_LC1_2A1
  0.000,  0.000,481.828,  0.000,SE.Total.SURVEY_LC1_2A2
  0.0000,  0.0000,116.7993,  0.0000,SE.Total.SURVEY_LC1_2A3
  0.0000,  0.0000,347.0091,  0.0000,SE.Total.SURVEY_LC1_2B1
  0.000000,  0.000000,114.023124,  5.246391,SE.Total.SURVEY_LC1_2B2
  0.0000,  0.0000,122.6617,  0.0000,SE.Total.SURVEY_LC1_2B3
 0.00000, 0.00000,74.26739, 0.00000,SE.Total.SURVEY_LC1_2B4
  0.000000,  0.000000,267.759349,  5.313208,SE.Total.SURVEY_LC1_2B5
0,0,0,0,SE.Total.SURVEY_LC1_2B7
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_2B8
244.333125,  4.260062,  0.000000,  0.000000,SE.Total.SURVEY_LC1_2Bx
   0.00000,   0.00000,1376.74836,  10.01124,SE.Total.SURVEY_LC1_2C1
1279.77320,   0.00000,2912.52296,  14.20426,SE.Total.SURVEY_LC1_2C2
 597.35504,   0.00000,2788.91941,  10.58723,SE.Total.SURVEY_LC1_2C3
195.5396,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_2Cx
241.1519,  0.0000,798.7564,  0.0000,SE.Total.SURVEY_LC1_2D1
  0.0000,  0.0000,593.0625,  0.0000,SE.Total.SURVEY_LC1_2D2
0,0,0,0,SE.Total.SURVEY_LC1_2Dx
  0.0000,  0.0000,404.1239,  0.0000,SE.Total.SURVEY_LC1_2E1
  0.00000,  0.00000,387.11519, 11.69571,SE.Total.SURVEY_LC1_2E2
  0.0000,  0.0000,664.6122,  0.0000,SE.Total.SURVEY_LC1_2E3
