FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
    0.000000,    0.000000,    5.377265,    0.000000,    0.000000, 6192.278143,  444.021150, 3566.979008,17625.648318,   56.747906,Total.SURVEY_LU1_2U36
   9.560030,   0.000000,   5.471953,  23.437061,   0.000000,1280.497040, 629.962305, 988.412838,1281.224363,  59.712595,Total.SURVEY_LU1_2U37
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,199.92026, 64.00221, 64.65936,553.35503,  0.00000,Total.SURVEY_LU1_2U41
  188.861504,    3.983432,   87.227761, 3584.227092,    9.309228, 3175.418224,  763.665867, 2239.582639,45662.751728,  298.263133,Total.SURVEY_LU1_2U42
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,369.3070,109.9315,198.8094,250.4133,  0.0000,Total.SURVEY_LC1_3A11
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,14.71316,59.50163,24.62888, 0.00000,Total.SURVEY_LC1_3A12
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.175516,0.000000,0.000000,Total.SURVEY_LC1_3A13
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,305.92652,180.67383,293.92654,478.50553, 14.90859,Total.SURVEY_LC1_3A21
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1164.3554, 306.8923, 564.2827,2428.4061,  20.3905,Total.SURVEY_LC1_3A22
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 80.44769, 20.80082, 90.65778,296.85444,  0.00000,Total.SURVEY_LC1_3A30
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,587.701050,202.131834,710.437131, 37.054492,  9.191167,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,55.002105, 0.000000, 0.000000, 5.291421, 0.000000,Total.SURVEY_LC1_3B12
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,840.37963, 45.98667,566.21974,908.85450, 10.00366,Total.SURVEY_LC1_3B13
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,48.302132, 8.153601,19.406097,64.503663, 0.000000,Total.SURVEY_LC1_3B14
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1168.177811,   4.076800, 343.710155, 322.665032,   4.789278,Total.SURVEY_LC1_3B15
0.000000,0.000000,0.000000,0.000000,0.000000,3.981687,0.000000,9.618055,0.000000,0.000000,Total.SURVEY_LC1_3B18
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,21.770839, 0.000000, 0.000000, 5.746148,16.762473,Total.SURVEY_LC1_3B21
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,48.55724, 0.00000,84.65801, 0.00000, 0.00000,Total.SURVEY_LC1_3B22
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,23.17545,86.42817, 0.00000, 0.00000,11.97319,Total.SURVEY_LC1_3B23
0.000000,0.000000,0.000000,0.000000,0.000000,9.774982,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B31
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,159.66490,  0.00000,184.52256, 96.83777,  0.00000,Total.SURVEY_LC1_3B32
0.000000,0.000000,0.000000,0.000000,0.000000,3.917467,0.000000,0.000000,7.191058,0.000000,Total.SURVEY_LC1_3B35
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.271922,16.446579, 0.000000,Total.SURVEY_LC1_3B37
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  9.182542, 28.242959,116.656072,  0.000000,  0.000000,Total.SURVEY_LC1_3B41
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,19.93102,24.26959, 0.00000, 0.00000,Total.SURVEY_LC1_3B43
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 0.00000, 0.00000,Total.SURVEY_LC1_3B45
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,159.60164, 17.67557, 21.32410, 57.75641,  0.00000,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,57.46146, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,103.55718,  0.00000, 98.47054,166.58255,  7.16993,Total.SURVEY_LC1_3B53
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.017668,12.562151, 0.000000,Total.SURVEY_LC1_3B54
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 935.81080,  38.79289, 620.79507,1711.05901,  46.29487,Total.SURVEY_LC1_3B55
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,20.010362, 3.983432,21.263205, 3.120509, 5.001830,Total.SURVEY_LC1_3B71
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.413947,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B73
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.335916, 0.000000,12.454583,11.419932, 0.000000,Total.SURVEY_LC1_3B75
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 0.00000, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.98279,0.00000,Total.SURVEY_LC1_3B84
686.513110,479.014474,498.571108,412.094624,  7.378644,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3Bx1
0.000000,0.000000,4.370619,8.216794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Bx2
 0.00000, 0.00000, 0.00000,12.35321, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bxx
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000, 3677.7799,  693.8286, 2002.1908,10942.2652,  162.7146,Total.SURVEY_LC1_3C10
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 8366.80451, 1071.51836, 4817.92917,10621.13246,   63.76371,Total.SURVEY_LC1_3C21
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,10683.9464, 1034.9341, 4287.2196,47314.9002,  412.6639,Total.SURVEY_LC1_3C22
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000, 4739.8939,  299.2088, 1991.3079,10923.4239,  105.9639,Total.SURVEY_LC1_3C23
  303.590870,  263.270759,  603.362636,12771.794573,    9.309228,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,Total.SURVEY_LC1_3C2x
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 4682.65816, 1102.96816, 3307.21896,16294.07385,   87.01508,Total.SURVEY_LC1_3C31
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000, 5008.0878,  415.5317, 1544.9934,26582.8326,  223.9913,Total.SURVEY_LC1_3C32
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 4827.52256,  603.18455, 1725.59035,15321.40050,   54.42681,Total.SURVEY_LC1_3C33
   0.00000, 100.42756, 125.25692,2758.42550,  14.42223,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_3C3x
  0.0000,  0.0000,  0.0000,280.0575,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3Cxx
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1236.468225,  68.677159, 668.985449,4032.419367,   9.309228,Total.SURVEY_LC1_3D10
243.1929,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3D1x
    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,  656.683733,  118.686261,  425.982313,10007.100087,    7.993003,Total.SURVEY_LC1_3D20
0.000000,0.000000,4.174207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 239.57000, 208.47306, 522.72273,1873.72107,  30.02524,Total.SURVEY_LC1_3E10
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,2741.52262, 672.95964,1803.32204,4894.29784,  89.79816,Total.SURVEY_LC1_3E20
